online,local_hour,free_sh_share,avg_eta_hours,city_area,hour,day_of_week,month,tariff_zone_abidjan,tariff_zone_lahore,tariff_zone_lima
49.0,2025-05-15 08:00:00,0.8788457170471143,0.2801036061862338,650,8,3,5,0,1,0
96.0,2025-05-07 23:00:00,0.6083021920676747,0.1896169833147069,400,23,2,5,1,0,0
21.0,2025-05-07 01:00:00,0.8490931094244906,0.2291775316070994,650,1,2,5,0,1,0
539.0,2025-05-19 10:00:00,0.2402104961438586,0.3602906985185466,400,10,0,5,1,0,0
651.0,2025-05-05 09:00:00,0.7606432650594566,0.3793106593004834,600,9,0,5,0,0,1
838.0,2025-05-06 11:00:00,0.7579874716152986,0.4464229098608371,600,11,1,5,0,0,1
249.0,2025-05-06 21:00:00,0.4720558595034976,0.2241330037766861,400,21,1,5,1,0,0
525.0,2025-05-20 09:00:00,0.3588417550182059,0.3784687167973056,400,9,1,5,1,0,0
24.0,2025-05-15 02:00:00,0.6289649314403591,0.1650157517946317,400,2,3,5,1,0,0
612.0,2025-05-11 18:00:00,0.7941362037860242,0.2532486768126293,600,18,6,5,0,0,1
47.0,2025-05-11 09:00:00,0.81294640565815,0.2587183970572997,650,9,6,5,0,1,0
14.0,2025-05-06 05:00:00,0.8818337856331037,0.1207527233115468,650,5,1,5,0,1,0
463.0,2025-05-18 23:00:00,0.9079127981397996,0.221644700197733,600,23,6,5,0,0,1
46.0,2025-05-04 02:00:00,0.6087060202218407,0.1834388313860791,400,2,6,5,1,0,0
586.0,2025-04-30 23:00:00,0.9192761813620256,0.2089500832482453,600,23,2,4,0,0,1
282.0,2025-05-07 01:00:00,0.9784727377825064,0.1418985070341659,600,1,2,5,0,0,1
118.0,2025-05-16 23:00:00,0.5432607218252717,0.2078625853792755,400,23,4,5,1,0,0
51.0,2025-05-03 01:00:00,0.633229443910836,0.1994971689921374,400,1,5,5,1,0,0
108.0,2025-05-18 22:00:00,0.4505563641575847,0.2149508726842315,400,22,6,5,1,0,0
123.0,2025-05-14 14:00:00,0.5135203898538239,0.3040473970621812,650,14,2,5,0,1,0
29.0,2025-05-04 08:00:00,0.8428174093673636,0.2817674690801662,650,8,6,5,0,1,0
277.0,2025-05-01 05:00:00,0.9824335906315332,0.2512342342342342,600,5,3,5,0,0,1
569.0,2025-05-07 09:00:00,0.3530511713475913,0.3442762570005925,400,9,2,5,1,0,0
671.0,2025-05-01 20:00:00,0.820830078175525,0.2006518466692108,600,20,3,5,0,0,1
656.0,2025-05-07 22:00:00,0.9023171850285584,0.2028409063126497,600,22,2,5,0,0,1
84.0,2025-05-20 21:00:00,0.5749954715288212,0.2825670501121563,650,21,1,5,0,1,0
